Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	Reference GC (%)	N50	NG50	N75	L50	LG50	L75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# possible TEs	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	LA50	LGA50	LA75
hg004.abyss	2362095	60733	38870	23254	3375	2279	3034352321	2668013710	2606748662	2492519217	2197977207	2159444230	48022	14449737	2642794651	3088286401	40.87	1978770	1450038	394270	324	454	991	942	814	584425754	1162	14959	28432	252	19	428 + 1004 part	6121250	89.712	1.005	377.90	97.83	26.68	14416634	2630085199	1812348	1276757	341430	367	514	1131
hg004.abyss_broken	-	-	123755	83703	31353	7745	-	-	2492311470	2200950772	1358365699	545510868	169942	307099	2624212078	3088286401	40.87	26002	21331	13861	29539	39402	64014	309	305	4966854	1115	-	-	20	17	3696 + 964 part	6238954	89.283	1.003	5.19	95.74	23.59	307099	2616720818	25951	21279	13797	29573	39455	64151
hg004.supernova	21417	21417	6388	3022	1024	459	2947785938	2947785938	2915141389	2891650087	2861743364	2842437102	9756	105768705	2928223407	3088286401	40.87	39703635	38480216	16286800	23	26	52	1071	645	2503590636	2178	624	9140	346	106	930 + 859 part	13607479	94.717	1.052	1450.91	120.90	27.13	58698757	2873246316	12640003	12373548	5677533	67	73	151
hg004.supernova_broken	-	-	36226	30147	22536	16007	-	-	2860364741	2816855266	2691362454	2453983485	45404	1380324	2884512424	3088286401	40.87	162627	149777	80728	5240	5893	11467	799	683	43182514	1427	-	-	216	99	2786 + 1168 part	13005547	94.597	1.038	0.00	118.60	26.23	1380131	2870129139	161431	149075	79983	5269	5926	11542
hg004.supernova.scaftigs	59373	54813	36226	30147	22536	16007	2905187148	2902999384	2860364741	2816855266	2691362454	2453983485	41097	1380324	2879468524	3088286401	40.87	162893	149777	81098	5225	5893	11420	795	679	43173836	1412	0	0	216	98	975 + 1121 part	12007376	94.472	1.038	0.00	118.36	26.20	1380131	2866136317	161782	149075	80451	5253	5926	11495
hg004.indexlr.n100_5000.c2_x.physlr.overlap.n90.k3.mol.backbone.map.hg004.abyss.n10.sort.best.bed.path	885	885	883	874	691	601	2084583132	2084583132	2084574173	2084495763	2081387595	2078102384	885	35943081	2084583132	3088286401	40.87	9979918	4528143	4398160	68	143	148	988	366	1839414091	531	14697	25518	146	0	8 + 234 part	1696664	71.005	1.003	390.42	92.75	25.49	20066620	2077809454	3796303	1987643	1916543	165	345	355
hg004.indexlr.n100_5000.c2_x.physlr.overlap.n90.k3.mol.backbone.map.hg004.abyss.n10.sort.best.bed.path_broken	-	-	82211	64397	29915	7574	-	-	2021321491	1889968693	1305522601	534580490	103679	307099	2076369319	3088286401	40.87	31698	19906	19519	20409	40604	41271	124	123	3113570	562	-	-	8	1	2070 + 420 part	1875754	70.882	1.001	4.74	90.21	22.60	307099	2073755789	31663	19840	19461	20428	40656	41325
hg004.indexlr.n100_5000.c2_x.physlr.overlap.n90.k3.mol.backbone.map_mkt.hg004.abyss.n10.sort.best.bed.path	1149	1149	1147	1127	893	765	2169886558	2169886558	2169877599	2169709911	2165665835	2160871043	1149	36198191	2169886558	3088286401	40.87	9503839	4809665	4232213	71	139	158	1324	470	1942010795	686	15615	26686	158	2	13 + 286 part	2298509	73.892	1.003	396.48	94.41	25.66	20066620	2162197248	3778777	2073265	1730668	174	337	380
hg004.indexlr.n100_5000.c2_x.physlr.overlap.n90.k3.mol.backbone.map_mkt.hg004.abyss.n10.sort.best.bed.path_broken	-	-	86610	67414	30853	7712	-	-	2101044066	1959469336	1341034172	543549046	109970	307099	2161136100	3088286401	40.87	31233	20851	19127	21521	39750	43577	137	136	3392302	642	-	-	8	4	2246 + 479 part	2353949	73.761	1.001	4.82	90.58	22.74	307099	2157993233	31183	20803	19071	21542	39800	43637
hg004.indexlr.n100_5000.c2_x.physlr.overlap.n90.k3.mol.backbone.map.hg004.supernova.scaftigs.n10.sort.best.bed.path	1956	1956	1953	1945	1870	1503	1655742861	1655742861	1655729304	1655674939	1654231039	1640125408	1956	32155838	1655742861	3088286401	40.87	6562987	219045	2326950	74	572	178	3638	559	1520263556	369	1502	121	98	4	14 + 164 part	1378971	55.966	1.011	4.49	104.12	23.99	5988527	1654017896	566110	100013	278201	831	3621	1871
