Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	Reference GC (%)	N50	NG50	N75	L50	LG50	L75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# possible TEs	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	LA50	LGA50	LA75
f1.abyss	467158	4751	2289	880	340	226	173398329	117991217	111107808	100834211	92993321	89114837	3311	3322471	115132837	137567484	42.08	487830	326300	91564	61	89	184	240	165	50488899	510	825	1805	12	1	119 + 155 part	5586411	79.185	1.009	505.14	293.19	40.17	1777265	109158053	308415	200525	28246	100	147	370
f1.abyss_broken	-	-	6787	3445	817	172	-	-	98614095	74792217	34615006	13280692	12101	193180	113656159	137567484	42.08	15214	11452	7665	1980	2884	4639	117	115	2135279	261	-	-	2	0	451 + 92 part	5291659	78.213	1.011	4.04	249.32	35.80	193180	108232076	13615	10214	6576	2204	3226	5236
f1.abyss.scaftigs	478519	14893	7144	3489	694	115	172812827	116872600	95964408	69971027	27583548	8589390	10144	188481	107671446	137567484	42.08	14147	10240	7760	2123	3372	4715	111	110	1876838	246	0	0	2	0	225 + 73 part	5194202	74.014	1.010	1.68	241.86	33.61	176528	102359733	12718	9076	6760	2364	3760	5285
f1.supernova	3461	3461	1099	275	92	50	139736327	139736327	134113076	128541651	125867583	124346125	1777	27246440	136770791	137567484	42.08	20770625	20770625	20652883	3	3	5	453	209	120125748	1507	113	394	72	24	85 + 191 part	7031973	89.194	1.061	3290.97	650.82	42.51	3619434	125169641	880995	880995	262872	43	43	109
f1.supernova_broken	-	-	2294	1396	966	668	-	-	128800008	122687086	115726228	105099624	3307	831740	132088273	137567484	42.08	152319	147975	64699	245	263	563	377	328	27027106	1135	-	-	50	23	194 + 323 part	6529255	89.173	1.027	0.00	564.16	43.55	734089	125408010	129615	122436	47914	288	310	698
f1.supernova.scaftigs	5345	4837	2294	1396	966	668	135219917	134938691	128800008	122687086	115726228	105099624	3050	831740	131755661	137567484	42.08	153068	147975	64890	243	263	559	375	327	27025063	1132	0	0	50	23	123 + 320 part	6487328	89.016	1.027	0.00	564.62	43.54	734089	125120782	129861	122436	48670	287	310	693
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map.f1.abyss.n10.sort.best.bed.path	35	35	33	27	25	18	93878962	93878962	93870779	93830058	93784995	93517853	35	21892408	93878962	137567484	42.08	16398338	15783423	15783423	3	4	4	537	28	89917815	542	987	1830	16	0	5 + 17 part	4513665	65.125	1.001	548.91	318.90	36.27	2133154	89080211	561371	280498	253259	52	106	112
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map.f1.abyss.n10.sort.best.bed.path_broken	-	-	5200	3093	792	172	-	-	84671653	69496264	33768997	13280692	8594	193180	93342510	137567484	42.08	18294	10232	9826	1403	3023	3145	96	94	1973616	213	-	-	2	0	323 + 66 part	4096056	64.916	1.003	3.85	234.46	32.87	193180	89151383	16357	8754	8370	1560	3389	3532
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map_mkt.f1.abyss.n10.sort.best.bed.path	37	37	35	34	28	25	102231960	102231960	102224576	102219200	102134044	102033430	37	23371333	102231960	137567484	42.08	18591524	16939228	16939228	3	4	4	791	28	97487554	910	1108	2144	32	3	4 + 19 part	5630169	70.337	1.002	541.47	398.78	35.53	2106051	96291987	418221	260750	200595	68	121	155
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map_mkt.f1.abyss.n10.sort.best.bed.path_broken	-	-	5810	3349	815	172	-	-	91334929	73593904	34558366	13280692	9842	193180	101653893	137567484	42.08	17111	11267	9235	1610	2897	3625	103	101	2047683	237	-	-	2	0	434 + 75 part	4893206	70.312	1.004	3.87	239.59	33.75	193180	96652805	15479	9932	7798	1792	3243	4090
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map.f1.supernova.scaftigs.n10.sort.best.bed.path	38	38	35	32	29	26	111687978	111687978	111675949	111652842	111599988	111481113	38	25773774	111687978	137567484	42.08	19555440	18548285	18548285	3	4	4	325	29	107967052	1286	226	83	58	1	4 + 20 part	5438354	77.876	0.995	8.68	707.41	42.18	4663578	106183375	1004527	720198	426404	37	53	80
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map.f1.supernova.scaftigs.n10.sort.best.bed.path_broken	-	-	960	916	813	637	-	-	111542178	111229046	109417089	102826494	1001	831740	111666656	137567484	42.08	185531	147234	105909	184	263	384	180	153	25131963	942	-	-	38	4	46 + 160 part	4953463	77.719	1.002	0.00	595.94	44.17	734089	106614616	156226	122414	83389	216	310	459
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map_mkt.f1.supernova.scaftigs.n10.sort.best.bed.path	39	39	38	36	33	29	121005385	121005385	121001665	120983283	120923215	120754361	39	26781660	121005385	137567484	42.08	20481490	20481490	19738994	3	3	5	501	30	116656600	1558	194	149	72	3	4 + 28 part	6385277	83.938	0.996	11.68	729.84	40.62	2622475	114529696	821922	664470	340991	42	54	100
f1.indexlr.n100_1000.c2_x.physlr.overlap.n25.mol.backbone.map_mkt.f1.supernova.scaftigs.n10.sort.best.bed.path_broken	-	-	1333	1223	950	665	-	-	120663219	119875616	115116565	104925018	1445	831740	120980517	137567484	42.08	171205	147975	90026	210	263	453	225	194	26019653	1024	-	-	40	5	79 + 205 part	5677852	83.843	1.003	0.00	578.24	43.23	734089	115185741	143913	122436	65301	247	310	551
